OID,Number,Abbrev,Private,Type,Bldg,BldgAbbr,BldgName,YearBuilt,NumFloors,Address,City,Zip,MapDisplay,Shape_Length,Shape_Area
,4052,TPSP,No,UNIVERSITY,4052,TPSP,WWTP Secondary Pump Building,1994,01,,College Station,77843,WWTP Secondary Pump Building | TPSP | 4052,37.901766092020196,86.850419004769762
, ,,No,UNIVERSITY,,,,,,,,, |  | ,17.792912720537785,15.388862479113786
, ,,No,UNIVERSITY,,,,,,,,, |  | ,68.145364125238487,368.288869993855371
,4053,TPDB,No,UNIVERSITY,4053,TPDB,WWTP Disinfection Building,1994,01,,College Station,77843,WWTP Disinfection Building | TPDB | 4053,20.519146383231021,26.306903993698867
, ,,No,UNIVERSITY,,,,,,,,, |  | ,48.092315625076495,51.754939970017830
,4002,,No,UNIVERSITY,4002,,Beef Cattle Center Headquarters,1993,01,7771 Raymond Stotzer Pw,College Station,77843,Beef Cattle Center Headquarters |  | 4002,97.985385654044862,487.839861540720449
, ,,No,UNIVERSITY,,,,,,,,, |  | ,150.189648654453663,1367.510771979728588
, ,,No,UNIVERSITY,,,,,,,,, |  | ,13.454407695118718,11.229346003216595
, ,,No,UNIVERSITY,,,,,,,,, |  | ,9.478745705588898,4.443440508684635
, ,,No,UNIVERSITY,,,,,,,,, |  | ,6.636491905243480,2.734943997318059
,4026,,No,UNIVERSITY,4026,,SHEEP FEEDING BARN-BURLESON CO.,2008,01,10720 FM 50,Somerville,77843,SHEEP FEEDING BARN-BURLESON CO. |  | 4026,165.490291519189384,1534.151383593206447
,4027,,No,UNIVERSITY,4027,,BEEF RESEARCH UNIT-BURLESON CO.,2008,01,10720 FM 50,Somerville,77843,BEEF RESEARCH UNIT-BURLESON CO. |  | 4027,119.232484591263784,561.458569910534379
, ,,No,UNIVERSITY,,,,,,,,, |  | ,52.361602118001628,171.160750991076043
, ,,No,UNIVERSITY,,,,,,,,, |  | ,69.757755590829191,303.890169444585183
, ,USDA,No,FEDERAL,,,,,,,,, | USDA | ,95.796905150952597,362.480571298938798
, ,USDA,No,FEDERAL,,,,,,,,, | USDA | ,94.934104737768294,393.903250769088629
